date,vehicle_category,maker,electric_vehicles_sold
1/11/2021,4-Wheelers,MG Motor,118
1/11/2021,4-Wheelers,Mahindra & Mahindra,462
1/11/2021,4-Wheelers,Hyundai Motor,7
1/11/2021,4-Wheelers,Mercedes -Benz AG,2
1/11/2022,4-Wheelers,Tata Motors,2264
1/11/2022,4-Wheelers,MG Motor,464
1/11/2022,4-Wheelers,Mahindra & Mahindra,1067
1/11/2022,4-Wheelers,BYD India,39
1/11/2022,4-Wheelers,Hyundai Motor,59
1/11/2022,4-Wheelers,BMW India,14
1/11/2022,4-Wheelers,Mercedes -Benz AG,4
1/11/2022,4-Wheelers,Volvo Auto India,5
1/11/2022,4-Wheelers,KIA Motors,61
1/11/2023,4-Wheelers,Tata Motors,4432
1/11/2023,4-Wheelers,MG Motor,723
1/11/2023,4-Wheelers,Mahindra & Mahindra,1222
1/11/2023,4-Wheelers,BYD India,106
1/11/2023,4-Wheelers,Hyundai Motor,125
1/11/2023,4-Wheelers,PCA Automobiles,98
1/11/2023,4-Wheelers,BMW India,215
1/11/2023,4-Wheelers,Mercedes -Benz AG,35
1/11/2023,4-Wheelers,Volvo Auto India,57
1/11/2023,4-Wheelers,KIA Motors,29
1/12/2021,4-Wheelers,Tata Motors,1952
1/12/2021,4-Wheelers,MG Motor,99
1/12/2021,4-Wheelers,Mahindra & Mahindra,552
1/12/2021,4-Wheelers,BYD India,1
1/12/2021,4-Wheelers,Hyundai Motor,10
1/12/2021,4-Wheelers,Mercedes -Benz AG,1
1/12/2022,4-Wheelers,Tata Motors,1992
1/12/2022,4-Wheelers,MG Motor,363
1/12/2022,4-Wheelers,Mahindra & Mahindra,1260
1/12/2022,4-Wheelers,BYD India,37
1/12/2022,4-Wheelers,Hyundai Motor,68
1/12/2022,4-Wheelers,BMW India,27
1/12/2022,4-Wheelers,Mercedes -Benz AG,6
1/12/2022,4-Wheelers,Volvo Auto India,16
1/12/2022,4-Wheelers,KIA Motors,65
1/12/2023,4-Wheelers,Tata Motors,4893
1/12/2023,4-Wheelers,MG Motor,753
1/12/2023,4-Wheelers,Mahindra & Mahindra,1015
1/12/2023,4-Wheelers,BYD India,135
1/12/2023,4-Wheelers,Hyundai Motor,97
1/12/2023,4-Wheelers,PCA Automobiles,40
1/12/2023,4-Wheelers,BMW India,137
1/12/2023,4-Wheelers,Mercedes -Benz AG,51
1/12/2023,4-Wheelers,Volvo Auto India,47
1/12/2023,4-Wheelers,KIA Motors,23
1/1/2022,4-Wheelers,Tata Motors,1012
1/1/2022,4-Wheelers,MG Motor,48
1/1/2022,4-Wheelers,Mahindra & Mahindra,474
1/1/2022,4-Wheelers,BYD India,8
1/1/2022,4-Wheelers,Hyundai Motor,6
1/1/2022,4-Wheelers,Mercedes -Benz AG,2
1/1/2023,4-Wheelers,Tata Motors,1812
1/1/2023,4-Wheelers,MG Motor,313
1/1/2023,4-Wheelers,Mahindra & Mahindra,967
1/1/2023,4-Wheelers,BYD India,101
1/1/2023,4-Wheelers,Hyundai Motor,84
1/1/2023,4-Wheelers,BMW India,91
1/1/2023,4-Wheelers,Mercedes -Benz AG,14
1/1/2023,4-Wheelers,Volvo Auto India,21
